Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,98,2017-07-26 00:00:00,,,ADVENTURE AVENUE,SBR,Sture,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,99,2017-07-26 00:00:00,,,SM OSPREY,MÆL,Melkøya,,,1,,,,,,1,,,,,1 ekstra hoist for trening,2017,,
ja,100,2017-07-26 00:00:00,,,ADVANTAGE AVENUE,BRÆ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,101,2017-07-27 00:00:00,,,SOLVIKEN,LOO,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,102,2017-07-27 00:00:00,,,CHRISTOPHE DE MARGERIE,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,103,2017-07-27 00:00:00,,,SM OSPREY,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,104,2017-07-28 00:00:00,,,ANGELICA SCHULTE,LUB,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,105,2017-07-28 00:00:00,,,BODIL KNUTSEN,ONS,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,106,2017-07-28 00:00:00,,,SANSOVINO,ONS,Kårstø,,,1,,,,,,1,,,,,,2017,,
x,107,2017-07-29 00:00:00,,,NORDIC ANNE,LOO,Mongstad,,,,,,,,,,,,,,BÅT TATT MED LOSSKØYTE PGA LYNAKTIVITET RUNDT FLESLAND,2017,,
ja,108,2017-07-29 00:00:00,,,CHRISTOPHE DE MARGERIE,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
x,109,2017-07-29 00:00:00,,,ANGELICA SCHULTE,LOO,Sture,,,,,,,,,,,,,,BÅT TATT MED LOSSKØYTE PGA LYNAKTIVITET RUNDT FLESLAND,2017,,
ja,110,2017-07-29 00:00:00,,,DUBAI CHARM,LOO,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,111,2017-07-30 00:00:00,,,LYRIC MAGNOLIA,LUN,Sture,,1,1,,,,,,1,,,,,,2017,,
ja,112,2017-07-29 00:00:00,,,GASHEM BREMEN,GUN,Melkøya,,,1,,,,,,1,,,,,Fikk ikke ført denne turen inn i skjemat umiddelbart etter endt tur (midnatt) . Systemet var låst av annen bruker!,2017,,
ja,113,2017-07-30 00:00:00,,,ARCTIC PRINCESS,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,114,2017-07-30 00:00:00,,,DUBAI CHARM,ONS,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,115,2017-07-31 00:00:00,,,GASHEM BREMEN,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,116,2017-07-31 00:00:00,,,BODIL KNUTSEN,LOO,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,117,2017-08-01 00:00:00,,,SCF BALTICA,ONS,Nyhamna,,,1,,,,,,1,,,,,ONA WEST,2017,,
ja,118,2017-08-01 00:00:00,,,SAFE ZAPHYRE,ONS,Nyhamna,,,1,,,1,,,,,,,,"RIGG 10 NM NW AV KRISTIANSUND,  2 Los",2017,,
ja,119,2017-08-01 00:00:00,,,NAVION ANGLIA,LUN,Crew Change,,,,,9,1,,,,1,60,12,,SHIP 30NM W OF BR 5PAX OUT 4PAX INN,2017,,
